account_id,district_id,frequency,date,amount_order,k_symbol_LEASING,k_symbol_Other,k_symbol_POJISTNE,k_symbol_SIPO,k_symbol_UVER,date_min,date_max,amount_sum,amount_mean,amount_std,balance_min,balance_max,balance_mean,balance_std,type_PRIJEM_sum,type_VYBER_sum,type_VYDAJ_sum,operation_Other_sum,operation_PREVOD NA UCET_sum,operation_PREVOD Z UCTU_sum,operation_VKLAD_sum,operation_VYBER_sum,operation_VYBER KARTOU_sum,k_symbol_DUCHOD_sum,k_symbol_Other_sum,k_symbol_POJISTNE_sum,k_symbol_SANKC. UROK_sum,k_symbol_SIPO_sum,k_symbol_SLUZBY_sum,k_symbol_UROK_sum,k_symbol_UVER_sum,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,type_x,gender,birth_date,type_y,issued
1,18,POPLATEK MESICNE,1995-03-24,2452.0,0.0,0.0,0.0,2452.0,0.0,1995-03-24,1998-12-31,375192,1569.8410041841005,1732.1152463721787,1000,30415,15994.07949790795,3656.858500173635,194322,0,180870,3067,98080,165555,25700,82790,0,0,273445,0,0,98080,600,3067,0,70699,60,13,2,1,4,65.3,8968,2.8,3.35,131,1740.0,1910,OWNER,F,1970-12-13,No Card,
2,1,POPLATEK MESICNE,1993-02-26,10638.7,0.0,0.0,0.0,7266.0,3372.7,1993-02-26,1998-12-31,3151514,6593.125523012553,7694.5152371501035,1100,69302,36540.780334728035,11028.155961909482,1597055,217442,1337017,10719,553242,1537936,48400,1001217,0,0,2586578,0,0,472290,975,10719,80952,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,M,1945-02-04,No Card,
3,5,POPLATEK MESICNE,1997-07-07,5001.0,0.0,327.0,3539.0,1135.0,0.0,1997-07-07,1998-12-31,295030,2521.6239316239316,2951.3006329953732,1000,53447,26973.529914529914,10508.728242203906,173062,0,121968,2073,65013,0,170989,56955,0,0,232000,46007,0,14755,195,2073,0,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040,OWNER,M,1956-12-01,No Card,
4,12,POPLATEK MESICNE,1996-02-21,3363.0,0.0,0.0,0.0,3363.0,0.0,1996-02-21,1998-12-31,350986,1887.021505376344,1956.8296365708597,800,34870,21753.52688172043,5009.976472062999,192349,0,158637,2747,98812,188802,800,59825,0,188802,98740,0,0,60262,435,2747,0,107870,84,29,6,1,6,58.0,8754,3.8,4.31,137,3804.0,3868,OWNER,M,1919-09-22,No Card,
5,15,POPLATEK MESICNE,1997-05-30,2668.0,0.0,0.0,0.0,2668.0,0.0,1997-05-30,1998-12-31,166891,1986.797619047619,1981.162764213863,600,32036,25090.02380952381,4752.45209498096,97489,0,69402,1566,37352,95323,600,32050,0,95323,32440,0,0,37352,210,1566,0,58796,22,16,7,1,5,51.9,9045,3.1,3.6,124,1845.0,1879,OWNER,M,1929-01-25,No Card,
6,51,POPLATEK MESICNE,1994-09-27,3954.0,0.0,0.0,0.0,3954.0,0.0,1994-09-27,1998-12-31,647584,2632.4552845528456,2655.001375923493,900,51879,34547.35365853659,7331.711740503967,347616,0,299968,6597,185838,340119,900,114130,0,340119,114340,0,0,185838,690,6597,0,121947,37,28,7,3,11,70.5,8541,2.5,2.97,131,3496.0,3839,OWNER,F,1938-02-21,No Card,
7,60,POPLATEK MESICNE,1996-11-24,4880.0,0.0,0.0,0.0,4880.0,0.0,1996-11-24,1998-12-31,1192047,9169.592307692308,10149.268190440665,900,99675,62598.6,14932.47189182019,630267,0,561780,6492,97600,0,623775,458280,5900,0,1087655,0,0,97600,300,6492,0,110643,49,41,4,1,4,51.9,8441,3.4,4.48,115,1879.0,2252,OWNER,M,1935-10-16,gold,1998-10-16
8,57,POPLATEK MESICNE,1995-09-21,9324.0,0.0,6712.0,0.0,2612.0,0.0,1995-09-21,1998-12-31,1712923,6743.791338582677,8144.286603770246,900,79255,46819.42913385827,13128.157343438888,892765,0,820158,7681,319628,0,885084,500530,0,0,1613312,0,0,91420,510,7681,0,161954,21,37,20,3,8,48.0,8720,3.7,4.5,116,3729.0,3651,OWNER,M,1943-05-01,No Card,
9,70,POPLATEK MESICNE,1993-01-27,,,,,,,1993-01-27,1998-12-31,696458,1929.246537396122,4993.030942962782,400,85444,26625.307479224375,11555.388740380176,360153,0,336305,7596,0,0,352557,336305,0,0,687857,0,0,0,1005,7596,0,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,OWNER,M,1981-02-20,No Card,
10,54,POPLATEK MESICNE,1996-08-28,8377.0,1344.0,0.0,0.0,7033.0,0.0,1996-08-28,1998-12-31,1040615,6670.608974358975,7335.994095024991,1100,83410,47792.21153846154,12152.299821637174,549951,0,490664,5528,161759,0,544423,328905,0,0,872983,0,0,161759,345,5528,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,OWNER,F,1974-05-29,No Card,
