loan_id,account_id,date_x,amount,duration,payments,status,district_id,frequency,date_y,amount_order,k_symbol_LEASING,k_symbol_Other,k_symbol_POJISTNE,k_symbol_SIPO,k_symbol_UVER,date_min,date_max,amount_sum,amount_mean,amount_std,balance_min,balance_max,balance_mean,balance_std,type_PRIJEM_sum,type_VYBER_sum,type_VYDAJ_sum,operation_Other_sum,operation_PREVOD NA UCET_sum,operation_PREVOD Z UCTU_sum,operation_VKLAD_sum,operation_VYBER_sum,operation_VYBER KARTOU_sum,k_symbol_DUCHOD_sum,k_symbol_Other_sum,k_symbol_POJISTNE_sum,k_symbol_SANKC. UROK_sum,k_symbol_SIPO_sum,k_symbol_SLUZBY_sum,k_symbol_UROK_sum,k_symbol_UVER_sum,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,type_x,gender,birth_date,type_y,issued
4959,2,1994-01-05,80952,24,3373.0,A,1,POPLATEK MESICNE,1993-02-26,10638.7,0.0,0.0,0.0,7266.0,3372.7,1993-02-26,1998-12-31,3151514,6593.125523012553,7694.5152371501035,1100,69302,36540.780334728035,11028.155961909482,1597055,217442,1337017,10719,553242,1537936,48400,1001217,0,0,2586578,0,0,472290,975,10719,80952,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,M,1945-02-04,No Card,
4961,19,1996-04-29,30276,12,2523.0,B,21,POPLATEK MESICNE,1995-04-07,2523.2,0.0,0.0,0.0,0.0,2523.2,1995-04-07,1998-12-31,1575532,5199.775577557756,6866.583330755517,-10605,58158,16253.069306930693,12127.947342953741,793196,32194,750142,5589,20184,741807,45800,762152,0,0,1068101,0,58,481000,600,5589,20184,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,OWNER,F,1939-04-23,No Card,
4962,25,1997-12-08,30276,12,2523.0,A,68,POPLATEK MESICNE,1996-07-28,10614.2,0.0,1110.0,164.0,6817.0,2523.2,1996-07-28,1998-12-31,2958556,10797.649635036496,15178.207418320886,900,134210,56279.23722627737,24090.94402616309,1494375,85758,1378423,6203,248733,0,1488172,1215448,0,0,2733200,4428,0,184059,390,6203,30276,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,OWNER,M,1962-02-09,No Card,
4967,37,1998-10-14,318480,60,5308.0,D,20,POPLATEK MESICNE,1997-08-18,10305.5,0.0,2584.0,97.0,2317.0,5307.5,1997-08-18,1998-12-31,948159,7293.530769230769,11915.486862953456,-1011,104762,37547.484615384616,23823.350617719592,497029,41655,409475,2535,75280,0,494494,375850,0,0,906325,1358,0,32438,195,2535,5308,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542,OWNER,M,1952-08-26,No Card,
4968,38,1998-04-19,110736,48,2307.0,C,19,POPLATEK TYDNE,1997-08-08,9666.8,0.0,231.0,228.0,6901.0,2306.8,1997-08-08,1998-12-31,571952,4399.630769230769,5450.454497994165,13841,55991,34462.38461538462,9455.331494182408,308266,37819,225867,2506,107007,256060,49700,156679,0,0,465082,2736,0,82812,360,2506,18456,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,OWNER,F,1940-01-30,No Card,
4973,67,1996-05-02,165960,24,6915.0,A,16,POPLATEK MESICNE,1994-10-19,13753.0,0.0,445.0,0.0,6393.0,6915.0,1994-10-19,1998-12-31,4518183,11827.704188481675,15660.188866931376,700,134939,56893.405759162306,23399.323306842234,2278938,246762,1992483,10933,480508,2261205,6800,1758737,0,0,4046537,0,0,294078,675,10933,165960,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,OWNER,F,1944-06-13,No Card,
4986,97,1997-08-10,102876,12,8573.0,A,74,POPLATEK MESICNE,1996-05-05,12438.0,0.0,2426.0,3.0,1436.0,8573.0,1996-05-05,1998-12-31,1229270,4486.386861313868,6547.773987149102,900,67288,39814.62773722628,11713.655815196358,640923,0,588347,5443,209642,0,635480,365505,13200,0,1081693,81,0,38772,405,5443,102876,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,OWNER,M,1942-01-28,classic,1998-06-23
4988,103,1997-12-06,265320,36,7370.0,D,44,POPLATEK MESICNE,1996-03-10,7370.2,0.0,0.0,0.0,0.0,7370.2,1996-03-10,1998-12-31,1714758,9268.962162162163,12850.721315978799,-1140,124758,48288.84864864865,26255.414536583467,876388,231140,607230,8542,81070,0,867846,757300,0,0,1624786,0,60,0,300,8542,81070,105606,77,26,7,2,7,53.0,8254,2.7,3.76,97,2166.0,2325,OWNER,M,1967-09-21,No Card,
4989,105,1998-12-05,352704,48,7348.0,C,21,POPLATEK MESICNE,1997-07-10,7348.0,0.0,0.0,0.0,0.0,7348.0,1997-07-10,1998-12-31,493762,8368.847457627118,11461.364833894786,800,74694,30200.627118644068,16206.826608581681,255490,4019,234253,2657,7348,0,252833,230924,0,0,483652,0,0,0,105,2657,7348,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,OWNER,F,1950-12-27,classic,1998-06-07
4990,110,1997-09-08,162576,36,4516.0,C,36,POPLATEK MESICNE,1996-07-17,7664.0,0.0,98.0,0.0,3050.0,4516.0,1996-07-17,1998-12-31,1429406,6839.263157894737,9583.891230994346,900,79652,45365.325358851675,12038.971936101856,751638,0,677768,5741,147808,0,745897,515160,14800,0,1277849,0,0,73200,360,5741,72256,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,OWNER,M,1953-01-26,classic,1998-02-26
