loan_id,account_id,date_x,amount,duration,payments,status,district_id,frequency,date_y,amount_order,k_symbol_LEASING,k_symbol_Other,k_symbol_POJISTNE,k_symbol_SIPO,k_symbol_UVER,date_min,date_max,amount_sum,amount_mean,amount_std,balance_min,balance_max,balance_mean,balance_std,type_PRIJEM_sum,type_VYBER_sum,type_VYDAJ_sum,operation_Other_sum,operation_PREVOD NA UCET_sum,operation_PREVOD Z UCTU_sum,operation_VKLAD_sum,operation_VYBER_sum,operation_VYBER KARTOU_sum,k_symbol_Other_sum,k_symbol_POJISTNE_sum,k_symbol_SANKC. UROK_sum,k_symbol_SIPO_sum,k_symbol_SLUZBY_sum,k_symbol_UROK_sum,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,type_x,gender,birth_date,type_y,issued
4959,2,1994-01-05,80952,24,3373.0,A,1,POPLATEK MESICNE,1993-02-26,10638.7,0.0,0.0,0.0,7266.0,3372.7,1993-02-26,1993-12-31,429534.0,7954.333333333333,8793.20159136677,1100.0,67530.0,32590.75925925926,12061.802205739588,228687.0,47827.0,153020.0,1291.0,36330.0,222596.0,4800.0,164517.0,0.0,391823.0,0.0,0.0,36330.0,90.0,1291.0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,M,1945-02-04,No Card,
4961,19,1996-04-29,30276,12,2523.0,B,21,POPLATEK MESICNE,1995-04-07,2523.2,0.0,0.0,0.0,0.0,2523.2,1995-04-07,1996-04-10,468508.0,5856.35,7074.850795224133,715.0,58158.0,25197.1375,15039.321181947202,242180.0,28308.0,198020.0,2835.0,0.0,211945.0,27400.0,226328.0,0.0,338153.0,0.0,0.0,127400.0,120.0,2835.0,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,OWNER,F,1939-04-23,No Card,
4962,25,1997-12-08,30276,12,2523.0,A,68,POPLATEK MESICNE,1996-07-28,10614.2,0.0,1110.0,164.0,6817.0,2523.2,1996-07-28,1997-12-06,1986693.0,12113.981707317073,15599.382021530562,900.0,119653.0,62991.40853658537,22476.380134184605,1009156.0,66843.0,910694.0,4087.0,114384.0,0.0,1005069.0,863153.0,0.0,1884662.0,2296.0,0.0,95438.0,210.0,4087.0,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,OWNER,M,1962-02-09,No Card,
4967,37,1998-10-14,318480,60,5308.0,D,20,POPLATEK MESICNE,1997-08-18,10305.5,0.0,2584.0,97.0,2317.0,5307.5,1997-08-18,1998-10-12,878356.0,7572.0344827586205,11817.595990306358,-1011.0,104762.0,39954.03448275862,23451.696219706784,447360.0,41655.0,389341.0,2303.0,59976.0,0.0,445057.0,371020.0,0.0,846920.0,1164.0,0.0,27804.0,165.0,2303.0,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542,OWNER,M,1952-08-26,No Card,
4968,38,1998-04-19,110736,48,2307.0,C,19,POPLATEK TYDNE,1997-08-08,9666.8,0.0,231.0,228.0,6901.0,2306.8,1997-08-08,1998-04-10,259391.0,4716.2,5740.513544584278,13841.0,55991.0,31383.581818181818,10950.723180399427,148404.0,5896.0,105091.0,1114.0,29671.0,131490.0,15800.0,81316.0,0.0,229641.0,912.0,0.0,27604.0,120.0,1114.0,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,OWNER,F,1940-01-30,No Card,
4973,67,1996-05-02,165960,24,6915.0,A,16,POPLATEK MESICNE,1994-10-19,13753.0,0.0,445.0,0.0,6393.0,6915.0,1994-10-19,1996-04-30,1602800.0,12822.4,16442.490637213046,700.0,107070.0,52523.336,20955.670441297218,813242.0,39016.0,750542.0,3487.0,95732.0,809055.0,700.0,693826.0,0.0,1509601.0,0.0,0.0,89502.0,210.0,3487.0,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,OWNER,F,1944-06-13,No Card,
4986,97,1997-08-10,102876,12,8573.0,A,74,POPLATEK MESICNE,1996-05-05,12438.0,0.0,2426.0,3.0,1436.0,8573.0,1996-05-05,1997-08-07,571601.0,4844.076271186441,6935.994091467211,900.0,60335.0,33057.457627118645,12670.964435965618,306057.0,0.0,265544.0,2245.0,41079.0,0.0,303812.0,224465.0,0.0,554798.0,33.0,0.0,14360.0,165.0,2245.0,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,OWNER,M,1942-01-28,classic,1998-06-23
4988,103,1997-12-06,265320,36,7370.0,D,44,POPLATEK MESICNE,1996-03-10,7370.2,0.0,0.0,0.0,0.0,7370.2,1996-03-10,1997-11-30,716640.0,8634.216867469879,12214.959606822176,379.0,116038.0,46266.57831325301,28827.023350440482,368308.0,101793.0,246539.0,3655.0,0.0,0.0,364653.0,348332.0,0.0,712846.0,0.0,19.0,0.0,120.0,3655.0,105606,77,26,7,2,7,53.0,8254,2.7,3.76,97,2166.0,2325,OWNER,M,1967-09-21,No Card,
4989,105,1998-12-05,352704,48,7348.0,C,21,POPLATEK MESICNE,1997-07-10,7348.0,0.0,0.0,0.0,0.0,7348.0,1997-07-10,1998-12-02,480620.0,8582.5,11708.468599499021,800.0,74694.0,30797.535714285714,16415.423816935418,255396.0,4019.0,221205.0,2563.0,0.0,0.0,252833.0,225224.0,0.0,477952.0,0.0,0.0,0.0,105.0,2563.0,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,OWNER,F,1950-12-27,classic,1998-06-07
4990,110,1997-09-08,162576,36,4516.0,C,36,POPLATEK MESICNE,1996-07-17,7664.0,0.0,98.0,0.0,3050.0,4516.0,1996-07-17,1997-09-06,608234.0,7240.880952380952,9829.957741032065,900.0,79652.0,46148.27380952381,12673.310170715513,331885.0,0.0,276349.0,2353.0,28234.0,0.0,329532.0,248115.0,0.0,578296.0,0.0,0.0,27450.0,135.0,2353.0,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,OWNER,M,1953-01-26,classic,1998-02-26
